iter	Passed	Remaining
0	152	152166
1	153	76745
2	155	51599
3	156	38966
4	157	31410
5	159	26463
6	161	22890
7	162	20163
8	163	18039
9	165	16337
10	166	14947
11	167	13785
12	168	12805
13	169	11960
14	171	11233
15	173	10655
16	174	10107
17	176	9604
18	177	9157
19	178	8758
20	180	8393
21	181	8060
22	182	7753
23	183	7471
24	184	7207
25	186	6992
26	188	6777
27	189	6570
28	190	6375
29	191	6193
30	192	6023
31	193	5865
32	195	5714
33	196	5571
34	197	5436
35	198	5309
36	200	5205
37	201	5102
38	202	4999
39	204	4899
40	205	4804
41	206	4716
42	207	4626
43	208	4540
44	210	4458
45	211	4381
46	212	4311
47	214	4246
48	215	4181
49	216	4115
50	217	4053
51	218	3991
52	220	3931
53	221	3873
54	222	3818
55	223	3764
56	224	3715
57	225	3668
58	227	3630
59	228	3586
60	230	3544
61	231	3500
62	232	3458
63	234	3422
64	235	3385
65	236	3347
66	237	3309
67	238	3272
68	239	3236
69	241	3210
70	243	3180
71	244	3148
72	245	3116
73	246	3084
74	247	3053
75	248	3023
76	249	2993
77	250	2964
78	252	2938
79	253	2913
80	254	2886
81	256	2867
82	256	2838
83	258	2814
84	259	2790
85	260	2766
86	261	2743
87	262	2721
88	263	2699
89	264	2678
90	266	2658
91	267	2639
92	269	2623
93	270	2606
94	271	2588
95	272	2569
96	274	2551
97	275	2532
98	276	2513
99	277	2496
100	278	2478
101	279	2463
102	280	2447
103	282	2430
104	283	2418
105	285	2404
106	286	2390
107	287	2376
108	288	2361
109	290	2347
110	291	2333
111	292	2318
112	293	2303
113	294	2289
114	295	2275
115	297	2263
116	298	2251
117	299	2240
118	300	2226
119	301	2213
120	302	2201
121	303	2187
122	305	2175
123	306	2163
124	307	2151
125	308	2139
126	309	2126
127	310	2115
128	312	2110
129	313	2100
130	315	2091
131	316	2080
132	317	2069
133	318	2060
134	319	2050
135	321	2039
136	322	2029
137	323	2019
138	324	2009
139	325	2002
140	327	1994
141	328	1983
142	329	1973
143	330	1964
144	331	1955
145	332	1946
146	333	1937
147	334	1928
148	336	1919
149	337	1910
150	338	1902
151	339	1896
152	341	1890
153	342	1882
154	343	1874
155	345	1866
156	346	1859
157	347	1851
158	348	1844
159	349	1837
160	350	1828
161	351	1820
162	353	1813
163	355	1809
164	356	1804
165	357	1797
166	359	1790
167	360	1784
168	361	1777
169	362	1770
170	364	1766
171	365	1761
172	367	1757
173	369	1752
174	370	1747
175	372	1742
176	373	1738
177	375	1733
178	376	1728
179	378	1724
180	380	1720
181	381	1715
182	383	1711
183	385	1708
184	386	1703
185	388	1699
186	390	1696
187	391	1690
188	392	1686
189	394	1681
190	395	1676
191	397	1672
192	399	1669
193	400	1664
194	402	1659
195	403	1655
196	404	1650
197	406	1645
198	407	1641
199	409	1636
200	411	1637
201	413	1633
202	415	1630
203	416	1626
204	418	1622
205	419	1617
206	421	1613
207	422	1609
208	424	1606
209	425	1602
210	427	1598
211	428	1594
212	430	1590
213	431	1586
214	433	1581
215	434	1577
216	435	1572
217	437	1568
218	441	1573
219	442	1569
220	444	1566
221	445	1562
222	447	1558
223	448	1554
224	450	1550
225	451	1546
226	453	1544
227	455	1541
228	457	1538
229	458	1535
230	460	1531
231	462	1532
232	464	1529
233	466	1526
234	468	1523
235	469	1521
236	471	1518
237	473	1515
238	474	1512
239	476	1508
240	477	1504
241	480	1504
242	482	1501
243	484	1499
244	486	1497
245	487	1494
246	488	1490
247	490	1487
248	491	1483
249	493	1479
250	494	1476
251	497	1476
252	498	1472
253	500	1469
254	501	1466
255	503	1463
256	504	1459
257	506	1456
258	507	1452
259	509	1449
260	510	1446
261	512	1443
262	514	1442
263	516	1439
264	518	1437
265	519	1434
266	521	1431
267	522	1428
268	525	1427
269	527	1425
270	529	1423
271	530	1420
272	532	1417
273	533	1414
274	535	1411
275	536	1407
276	538	1404
277	540	1404
278	542	1401
279	543	1397
280	545	1394
281	546	1392
282	548	1389
